"year","mean flow [cms]","site_no"
1979,15.0265789038018,"03336645"
1980,7.60431114491309,"03336645"
1981,12.3209934507359,"03336645"
1982,18.9909063632562,"03336645"
1983,13.0408076854276,"03336645"
1984,15.367745945363,"03336645"
1985,10.3805346171796,"03336645"
1986,15.0017221433182,"03336645"
1987,5.23678568074147,"03336645"
1988,6.84427460942856,"03336645"
1989,6.4852017357555,"03336645"
1990,12.6529755027382,"03336645"
1991,12.6958697064566,"03336645"
1992,6.03949590931286,"03336645"
1993,25.5275206307611,"03336645"
1994,15.8831829015546,"03336645"
1995,10.3227705779996,"03336645"
1996,7.57447787726347,"03336645"
1997,10.4197460792622,"03336645"
1998,15.3571955407464,"03336645"
1999,8.27369375240116,"03336645"
2000,2.10515636958614,"03336645"
2001,6.9195433688505,"03336645"
2002,15.8193264734832,"03336645"
2003,9.16174108668329,"03336645"
2004,13.6242560512823,"03336645"
2005,13.5367559149647,"03336645"
2006,7.29957096319836,"03336645"
2007,10.7574450310149,"03336645"
2008,18.1561831757193,"03336645"
2009,14.1603394202436,"03336645"
2010,15.1246250145984,"03336645"
2011,10.8340417125402,"03336645"
2012,3.37147258655983,"03336645"
2013,11.050702050049,"03336645"
2014,10.1607539959422,"03336645"
2015,14.8890676430115,"03336645"
2016,13.5890843617763,"03336645"
2017,11.6158108796746,"03336645"
2018,12.8882147946809,"03336645"
2019,16.3235377915319,"03336645"
2020,14.0833742572498,"03336645"
2021,10.0187562605614,"03336645"
1989,5.13179612405454,"03338780"
1990,10.025637642131,"03338780"
1991,10.6792525206409,"03338780"
1992,5.2210848913552,"03338780"
1993,19.7557715368146,"03338780"
1994,11.8334045094076,"03338780"
1995,7.17794041049476,"03338780"
1996,5.42144592152176,"03338780"
1997,8.00367516668559,"03338780"
1998,11.8254020910434,"03338780"
1999,6.94219684594545,"03338780"
2000,2.28303413320971,"03338780"
2001,5.22967155796885,"03338780"
2002,15.7585655034121,"03338780"
2003,7.26125400313948,"03338780"
2004,14.0888302791239,"03338780"
2005,11.8119504253123,"03338780"
2006,6.41108142063047,"03338780"
2007,8.49970485564376,"03338780"
2008,9.96521737932099,"03338780"
2009,8.47537176286695,"03338780"
2010,8.61431050303589,"03338780"
2011,7.65866503794166,"03338780"
2012,3.1764027835057,"03338780"
2013,8.61109401961002,"03338780"
2014,6.11908508311276,"03338780"
2015,7.4188161892002,"03338780"
1979,41.3407337686447,"03339000"
1980,23.3094840358162,"03339000"
1981,34.4322766390985,"03339000"
1982,48.1248295153717,"03339000"
1983,39.6748498177554,"03339000"
1984,46.1687534249003,"03339000"
1985,31.6876372121641,"03339000"
1986,43.7601561545449,"03339000"
1987,16.4831199006056,"03339000"
1988,22.5400549726018,"03339000"
1989,21.8166173092462,"03339000"
1990,41.0743226715761,"03339000"
1991,43.2818729823178,"03339000"
1992,20.5692488864014,"03339000"
1993,76.2799207479431,"03339000"
1994,49.8468816765923,"03339000"
1995,30.70880529262,"03339000"
1996,25.5428785826048,"03339000"
1997,29.3828010785558,"03339000"
1998,49.0145215541553,"03339000"
1999,26.7903743984031,"03339000"
2000,8.72816499833224,"03339000"
2001,18.0255734334879,"03339000"
2002,50.7498322059085,"03339000"
2003,26.4891064271607,"03339000"
2004,47.2194863725735,"03339000"
2005,43.0997917811471,"03339000"
2006,27.3431347555999,"03339000"
2007,37.1281645420382,"03339000"
2008,55.4485166641765,"03339000"
2009,43.1616388768324,"03339000"
2010,48.4618232612793,"03339000"
2011,34.2221190908023,"03339000"
2012,12.666659222895,"03339000"
2013,36.6381822453388,"03339000"
2014,27.27478642231,"03339000"
2015,43.8908791302469,"03339000"
2016,43.0539854296218,"03339000"
2017,37.4848249196018,"03339000"
2018,39.8065115163096,"03339000"
2019,48.3957713078593,"03339000"
2020,37.5686486563753,"03339000"
2021,26.1989867595434,"03339000"
1979,5.96284142505942,"03343400"
1980,2.23663115127593,"03343400"
1981,4.4934763879687,"03343400"
1982,5.30128231348611,"03343400"
1983,6.27324293691276,"03343400"
1984,7.38662605824353,"03343400"
1985,4.11719592698964,"03343400"
1986,5.91967025930935,"03343400"
1987,2.23976961764608,"03343400"
1988,3.7692750451903,"03343400"
1989,4.87479724760139,"03343400"
1990,4.74617670076679,"03343400"
1991,5.92286502022294,"03343400"
1992,4.08634326134948,"03343400"
1993,10.1166434979008,"03343400"
1994,7.44432607239594,"03343400"
1995,3.97600657938739,"03343400"
1996,5.89620443910724,"03343400"
1997,4.34505732279633,"03343400"
1998,7.24213447967546,"03343400"
1999,4.17631219255932,"03343400"
2000,1.63656545566625,"03343400"
2001,2.90825588322558,"03343400"
2002,9.1895840831667,"03343400"
2003,1.67708284814006,"03343400"
2004,5.36578735398393,"03343400"
2005,5.76408276508364,"03343400"
2006,3.44176000908765,"03343400"
2007,3.86713102041386,"03343400"
2008,8.29802155335893,"03343400"
2009,7.34635599039239,"03343400"
2010,8.1285316788281,"03343400"
2011,5.14234722495682,"03343400"
2012,1.66460145462422,"03343400"
2013,5.41905479284747,"03343400"
2014,3.31258088336578,"03343400"
2015,4.06377173544207,"03343400"
2016,5.64331333787379,"03343400"
2017,5.91697744359029,"03343400"
2018,3.69428421437545,"03343400"
2019,7.02904206480905,"03343400"
2020,6.72773327482941,"03343400"
2021,4.48223343625433,"03343400"
1978,43.4390508747642,"03345500"
1979,57.73704120052,"03345500"
1980,23.0232982032541,"03345500"
1981,28.7848889279711,"03345500"
1982,54.5939488339978,"03345500"
1983,46.9270657041772,"03345500"
1984,49.3989938059856,"03345500"
1985,45.7399847142017,"03345500"
1986,37.7680088993688,"03345500"
1987,16.1991756329087,"03345500"
1988,30.9942583507387,"03345500"
1989,35.2631627339164,"03345500"
1990,36.2770609947171,"03345500"
1991,43.9558139258923,"03345500"
1992,25.1600595775987,"03345500"
1993,72.7403925322594,"03345500"
1994,56.2027336097437,"03345500"
1995,28.0018699405765,"03345500"
1996,49.3597448000762,"03345500"
1997,32.0605661998195,"03345500"
1998,48.1761101604394,"03345500"
1999,38.6901993681355,"03345500"
2000,21.8807211891213,"03345500"
2001,35.3262355999376,"03345500"
2002,67.9208420061902,"03345500"
2003,13.0084644162465,"03345500"
2004,39.258266910766,"03345500"
2005,45.5407194542073,"03345500"
2006,27.2231644234779,"03345500"
2007,37.1893289301946,"03345500"
2008,68.4181119853135,"03345500"
2009,57.0047985855864,"03345500"
2010,54.9598024890811,"03345500"
2011,52.8713613680102,"03345500"
2012,23.0420755218707,"03345500"
2013,49.9619334112903,"03345500"
2014,31.9380046823038,"03345500"
2015,38.3061996572559,"03345500"
2016,47.6676430189958,"03345500"
2017,43.3584370800746,"03345500"
2018,42.6762260657524,"03345500"
2019,62.7213647402945,"03345500"
2020,61.467007044011,"03345500"
2021,40.735063577959,"03345500"
1979,9.10545990890546,"03346000"
1980,5.64743725978319,"03346000"
1981,5.19496548971192,"03346000"
1982,11.8698357898569,"03346000"
1983,10.8268697044057,"03346000"
1984,10.9457799469809,"03346000"
1985,12.0580062767028,"03346000"
1986,8.96533651601309,"03346000"
1987,3.28441855556914,"03346000"
1988,6.67422931964125,"03346000"
1989,7.85337662833569,"03346000"
1990,7.58714939681748,"03346000"
1991,10.8868378027785,"03346000"
1992,5.44398149230858,"03346000"
1993,15.334134290681,"03346000"
1994,10.7562777459186,"03346000"
1995,5.88942877676564,"03346000"
1996,10.3434380720812,"03346000"
1997,6.17706044092252,"03346000"
1998,8.84163766981857,"03346000"
1999,10.4631145991697,"03346000"
2000,5.92497949104393,"03346000"
2001,9.27969773153398,"03346000"
2002,12.8898978135178,"03346000"
2003,3.12651295896125,"03346000"
2004,7.81815254450311,"03346000"
2005,10.5051080944325,"03346000"
2006,6.29965299059864,"03346000"
2007,10.9449959503957,"03346000"
2008,17.6701249751949,"03346000"
2009,12.0724672634511,"03346000"
2010,11.8676891401609,"03346000"
2011,10.9618968407557,"03346000"
2012,5.20780584096025,"03346000"
2013,10.6048508885991,"03346000"
2014,7.18760878000758,"03346000"
2015,8.89266928179898,"03346000"
2016,10.5388250857094,"03346000"
2017,8.89037910836116,"03346000"
2018,12.4602249689556,"03346000"
2019,15.5941612965505,"03346000"
2020,12.9233681499919,"03346000"
2021,9.07111816859434,"03346000"
2002,115.303095197214,"03346500"
2003,27.8174690854156,"03346500"
2004,61.2409055362847,"03346500"
2005,81.3005363993101,"03346500"
2006,44.4559437390439,"03346500"
2007,62.287294638603,"03346500"
2008,99.9243791499829,"03346500"
2009,89.2114098903074,"03346500"
2010,82.298018647257,"03346500"
2011,87.1841409154329,"03346500"
2012,32.5889996961078,"03346500"
2013,84.9669396028056,"03346500"
2014,58.8466038538062,"03346500"
2015,76.2825584815774,"03346500"
2016,79.37611258253,"03346500"
2017,76.9946457083286,"03346500"
2018,74.4595121543219,"03346500"
2019,114.884510143564,"03346500"
2020,100.942052566363,"03346500"
2021,68.9943452890869,"03346500"
1980,2.5482755265841,"03378635"
1981,3.04371546671519,"03378635"
1982,7.62033305247346,"03378635"
1983,8.16453318822279,"03378635"
1984,8.52443222109738,"03378635"
1985,8.30069920485963,"03378635"
1986,4.5052301430277,"03378635"
1987,2.0596321298267,"03378635"
1988,4.56084509275659,"03378635"
1989,3.44823596946593,"03378635"
1990,3.99427010589514,"03378635"
1991,5.93752338549575,"03378635"
1992,2.07612306075948,"03378635"
1993,12.7520221155746,"03378635"
1994,9.83591371052369,"03378635"
1995,6.53815860815585,"03378635"
1996,8.55647513118496,"03378635"
1997,5.56218319897693,"03378635"
1998,6.65470531718126,"03378635"
1999,7.39760282438957,"03378635"
2000,5.54761214132527,"03378635"
2001,6.96157459337661,"03378635"
2002,11.9055066731692,"03378635"
2003,1.18074704090386,"03378635"
2004,5.59913332802972,"03378635"
2005,7.64526196273003,"03378635"
2006,2.70343463921683,"03378635"
2007,4.43986710356869,"03378635"
2008,11.3976227010564,"03378635"
2009,10.2257102289667,"03378635"
2010,8.29255171114556,"03378635"
2011,9.06546352389665,"03378635"
2012,3.48021388795035,"03378635"
2013,8.20518842156811,"03378635"
2014,3.95551171335452,"03378635"
2015,6.70567874386092,"03378635"
2016,6.75740530242037,"03378635"
2017,5.73236201502461,"03378635"
2018,6.59117472679411,"03378635"
2019,10.9131393010609,"03378635"
2020,11.4904300045032,"03378635"
2021,6.84577032878887,"03378635"
1980,14.0708730658939,"03379500"
1981,11.7273559802469,"03379500"
1982,36.7620160814311,"03379500"
1983,36.8050499298714,"03379500"
1984,50.8055426282833,"03379500"
1985,53.2653301604196,"03379500"
1986,31.1228751669311,"03379500"
1987,12.268006036846,"03379500"
1988,28.5607116685519,"03379500"
1989,25.6427430423413,"03379500"
1990,27.7728525967947,"03379500"
1991,36.2501949018473,"03379500"
1992,12.8647843053565,"03379500"
1993,49.1582470050665,"03379500"
1994,39.7880861710697,"03379500"
1995,28.0667426719011,"03379500"
1996,32.2736923854769,"03379500"
1997,25.2887359144922,"03379500"
1998,40.3908470967174,"03379500"
1999,38.7823726425756,"03379500"
2000,30.2795365062873,"03379500"
2001,24.1198242544333,"03379500"
2002,48.0708273498366,"03379500"
2003,16.9253902506838,"03379500"
2004,31.7475150904656,"03379500"
2005,35.9663158016873,"03379500"
2006,18.5252975011421,"03379500"
2007,29.4995184644634,"03379500"
2008,46.8454904636327,"03379500"
2009,34.2478680258976,"03379500"
2010,42.4776124811265,"03379500"
2011,49.6688982722031,"03379500"
2012,21.6706117364343,"03379500"
2013,46.4036695287627,"03379500"
2014,27.9637477073241,"03379500"
2015,44.6894141978436,"03379500"
2016,46.7576509872496,"03379500"
2017,34.670798357808,"03379500"
2018,36.0063705627288,"03379500"
2019,56.2611749258246,"03379500"
2020,53.698643874398,"03379500"
2021,37.1898797510417,"03379500"
1979,18.840018870119,"03380500"
1980,5.41187626693621,"03380500"
1981,2.29649021446296,"03380500"
1982,12.3041935952924,"03380500"
1983,20.1187781715761,"03380500"
1984,19.4083936268982,"03380500"
1985,21.5993977974414,"03380500"
1986,15.0052685238437,"03380500"
1987,4.11703457378593,"03380500"
1988,12.911310632901,"03380500"
1989,13.6835234737949,"03380500"
1990,14.4497579414311,"03380500"
1991,12.3040283490383,"03380500"
1992,5.64697340233268,"03380500"
1993,20.9577605570434,"03380500"
1994,18.1505827930508,"03380500"
1995,14.9443011899059,"03380500"
1996,13.4003510802157,"03380500"
1997,11.1236929749306,"03380500"
1998,14.5790557651665,"03380500"
1999,18.7862711682993,"03380500"
2000,7.98233876973722,"03380500"
2001,6.51739467935394,"03380500"
2002,16.6665597149932,"03380500"
2003,9.84763036821267,"03380500"
2004,8.98545608918867,"03380500"
2005,15.404609759023,"03380500"
2006,10.0421453802532,"03380500"
2007,12.6214609726352,"03380500"
2008,22.9690908314215,"03380500"
2009,16.3619208753269,"03380500"
2010,12.5509031495245,"03380500"
2011,20.2384405095061,"03380500"
2012,11.6212686123552,"03380500"
2013,21.860588509326,"03380500"
2014,12.8872126362952,"03380500"
2015,23.0260160335755,"03380500"
2016,20.577331613421,"03380500"
2017,11.0266717012315,"03380500"
2018,14.5098012927928,"03380500"
2019,26.4945985241435,"03380500"
2020,22.7963549738353,"03380500"
2021,16.707618031805,"03380500"
1981,31.0687783533067,"03381500"
1982,85.0726506572219,"03381500"
1983,135.345991798167,"03381500"
1984,121.754779910475,"03381500"
1985,135.5175220648,"03381500"
1986,98.6157061007487,"03381500"
1987,32.0234827681367,"03381500"
1988,78.4840081324243,"03381500"
1989,93.4631261872635,"03381500"
1990,92.9936096003506,"03381500"
1991,92.357838214073,"03381500"
1992,44.2023650762072,"03381500"
1993,125.826954174631,"03381500"
1994,130.727165043631,"03381500"
1995,93.9948622557866,"03381500"
1996,98.1508316197978,"03381500"
1997,91.210424083134,"03381500"
1998,94.7265230177126,"03381500"
1999,122.065546012059,"03381500"
2000,61.0648149834565,"03381500"
2001,52.9404777472701,"03381500"
2002,141.123497357868,"03381500"
2003,67.2302523085589,"03381500"
2004,73.5644434969927,"03381500"
2005,99.4520383397175,"03381500"
2006,68.6856451154277,"03381500"
2007,88.1847962017812,"03381500"
2008,153.284025499657,"03381500"
2009,106.043393338175,"03381500"
2010,105.853701499665,"03381500"
2011,144.13063782966,"03381500"
2012,71.4318522811707,"03381500"
2013,126.730959797401,"03381500"
2014,87.5951929121447,"03381500"
2015,130.314933824824,"03381500"
2016,121.687515795085,"03381500"
2017,79.3125541395071,"03381500"
2018,101.822026494094,"03381500"
2019,174.513931275722,"03381500"
2020,144.84243317605,"03381500"
2021,107.285090930462,"03381500"
1977,2.58990531711984,"03382100"
1978,3.22507933430962,"03382100"
1979,7.47294764337567,"03382100"
1980,2.61541665693778,"03382100"
1981,3.047761569761,"03382100"
1982,4.66212437633954,"03382100"
1983,9.38650702448967,"03382100"
1984,4.62542532798785,"03382100"
1985,9.39380734022472,"03382100"
1986,4.53881188054205,"03382100"
1987,1.49184007926334,"03382100"
1988,2.27412902660579,"03382100"
1989,5.12735076707666,"03382100"
1990,5.10475935430253,"03382100"
1991,5.17372833080048,"03382100"
1992,2.7015354593776,"03382100"
1993,5.8422231302241,"03382100"
1994,4.51666112444565,"03382100"
1995,4.58575422958523,"03382100"
1996,4.86330231117128,"03382100"
