site_no,year,00530_kg,00535_kg,00600_kg,00610_kg,00625_kg,00630_kg,00665_kg,00666_kg,00667_kg,00946_kg,80154_kg,99220_kg,00530_gse,00535_gse,00600_gse,00610_gse,00625_gse,00630_gse,00665_gse,00666_gse,00667_gse,00946_gse,80154_gse,99220_gse,00530_n,00535_n,00600_n,00610_n,00625_n,00630_n,00665_n,00666_n,00667_n,00946_n,80154_n,99220_n,_flow_days
03336645,1979,444158545.54,,5247228.68,,2389157.45,3804656.32,210173.74,,,,,,1.67,,1.09,,1.57,1.10,1.27,,,,,,12,0,12,0,12,12,12,0,0,0,0,0,365
03336645,1980,282393112.44,,2893754.65,,1028470.86,2028750.03,88583.75,,,,,4905752.18,1.97,,1.08,,1.48,1.09,1.33,,,,,1.05,12,0,13,0,13,13,5,0,0,0,0,13,366
03336645,1981,188678877.90,,4858619.78,,977276.77,3475216.04,,38629.77,,,,6542054.90,1.29,,1.11,,1.22,1.09,,1.18,,,,1.04,12,0,12,0,12,9,0,9,0,0,0,12,365
03336645,1982,564841210.93,,6185522.08,,2942128.68,4068385.10,,85213.76,,,,11118903.14,1.66,,1.07,,1.41,1.10,,1.25,,,,1.06,8,0,8,0,8,8,0,8,0,0,0,8,365
03336645,1983,94453880.25,,3856953.07,,730680.37,3071834.27,,31662.84,,,,7257733.39,1.24,,1.06,,1.18,1.06,,1.21,,,,1.03,8,0,8,0,8,8,0,8,0,0,0,8,365
03336645,1984,217284362.48,,5093487.89,,1539032.63,3962913.94,244220.08,59115.66,241756.71,,,8415495.69,1.58,,1.09,,1.24,1.10,1.26,1.22,1.32,,,1.06,8,0,9,0,9,9,6,9,6,0,0,9,366
03336645,1985,144351623.93,,3148748.74,,979235.22,2379587.24,156704.78,40122.87,107344.45,,,5915629.94,1.74,,1.10,,1.33,1.08,1.24,1.16,1.33,,,1.06,9,0,9,0,9,9,9,9,9,0,0,9,365
03336645,1986,184592498.13,,4083334.54,,1197813.00,3261416.97,252446.11,58539.23,223775.48,,,7829720.87,1.52,,1.07,,1.20,1.09,1.27,1.20,1.33,,,1.06,9,0,9,0,9,9,9,9,9,0,0,9,365
03336645,1987,21464130.58,,1491418.00,,195963.53,1295707.13,24797.02,8526.60,15460.88,,,3496593.71,1.32,,1.05,,1.19,1.07,1.18,1.16,1.25,,,1.02,9,0,9,0,9,9,9,9,9,0,0,9,365
03336645,1988,34957159.93,,1900300.84,,375242.22,1676852.58,78083.23,29507.70,33862.87,,,4357628.16,1.36,,1.04,,1.22,1.09,1.23,1.25,1.30,,,1.04,9,0,9,0,9,9,9,9,9,0,0,9,366
03336645,1989,20764155.83,,1958624.96,,220305.74,1937376.38,54344.73,17049.44,47443.47,,,4265464.37,1.37,,1.07,,1.44,1.07,1.41,1.25,1.77,,,1.03,9,0,9,0,9,9,9,9,9,0,0,9,365
03336645,1990,105592049.50,,4308025.69,,888012.82,3456625.16,277880.06,69095.20,196484.09,,,6739000.43,1.46,,1.09,,1.57,1.10,1.26,1.23,1.36,,,1.04,9,0,9,0,9,9,9,9,9,0,0,9,365
03336645,1991,104722954.48,,3406586.31,,608385.45,2894281.68,172456.26,79855.97,86995.15,,,7227890.69,1.39,,1.09,,1.27,1.08,1.26,1.25,1.30,,,1.03,9,0,8,0,8,9,9,9,9,0,0,9,365
03336645,1992,14283533.56,,1904739.19,,157916.03,1753560.56,34143.26,13958.74,20968.57,,,4159368.44,1.23,,1.08,,1.25,1.10,1.21,1.11,1.56,,,1.05,7,0,8,0,8,8,8,8,8,0,0,7,366
03336645,1993,178866402.69,,6359767.33,,1563674.55,5117314.53,595167.97,185698.78,435837.90,,,11453776.70,1.19,,1.05,,1.31,1.03,1.21,1.12,1.38,,,1.05,9,0,7,0,9,9,9,9,9,0,0,8,365
03336645,1994,155352165.65,,3628776.12,,804827.97,2965017.38,480889.12,166402.74,311955.31,,,7495738.76,1.42,,1.06,,1.42,1.09,1.43,1.17,1.76,,,1.05,9,0,7,0,9,9,9,9,9,0,0,9,365
